,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1395,1396,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+PfWGMHF++CCIboVdftOR+JGwWA==',Zetticci,b'ZjVGSQnKdRZncZ9ft8PDdA0hMEQzhv8uVPqa5GYWK/zp+F6MtkRKHg==',Spain,Male,46,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',0.0,2,1,0,117273.35,0
1396,1397,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NdAN1nrh9EXfMkWgHYWZ8WIlwrQ==',Dale,b'ZjVGSQnKdRZncZ9ft8PDdA0xln6z1Sl8P7s+ZTZL6CRWlLOrpUeKew==',Spain,Female,33,b'ZjVGSQnKdRZncZ9ft8PDdA4Ahb9d6F4rAJ/o8NTNS3mgPQN5/JXoqw==',0.0,1,1,0,92277.47,1
1397,1398,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NZAIOvmNXP+3jXh6wQanItZFFEA==',Byrne,b'ZjVGSQnKdRZncZ9ft8PDdA0f633Ket+iyUROCHN7VgHMFZI32hTrrA==',Germany,Female,46,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',135070.58,2,1,1,44244.49,1
1398,1399,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8HhNTKjHNh0de7EPhqKrknT7eOg==',Praed,b'ZjVGSQnKdRZncZ9ft8PDdA0xsHdk4/Yl1fGSd9nvdsv2TO85OXkE8A==',France,Female,38,b'ZjVGSQnKdRZncZ9ft8PDdA42k1rEAZRnN9vk6tQtZmvIpGkMLAFHQA==',0.0,2,0,0,78133.48,1
1399,1400,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NSrNdXF0riGe0AMN78uvruBwqVA==',Laurens,b'ZjVGSQnKdRZncZ9ft8PDdA0PsYmh3I5t055wbO6l9x2bMaYYWQWdhA==',Spain,Female,29,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',0.0,2,1,0,103402.88,0
1400,1401,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/AH8A/aW+sDvEIW7+kFDdrxwIXw==',Woods,b'ZjVGSQnKdRZncZ9ft8PDdA0xvF+EUoCUPQnu/+xxKCcaZJSgUmGUlQ==',France,Female,27,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',122550.05,2,0,1,137835.82,0
1401,1402,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8IDGRzx5YZretsgyIkV/h12HQmw==',Bykov,b'ZjVGSQnKdRZncZ9ft8PDdA0xkgHl3blSHMjrY4upAJNIxzRMjZZG3A==',Spain,Female,43,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',0.0,2,1,0,20670.1,0
1402,1403,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8IBcfii+RmhOF+S4KLHkqYHw1wQ==',Vorobyova,b'ZjVGSQnKdRZncZ9ft8PDdA0hJI3sCrO9iN4Eks7o2yNijwv2BhaQUg==',France,Male,29,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',130306.49,1,1,0,77469.38,0
1403,1404,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2Ozq0brdU9hnQDrboAi22l+6Q1UA==',Pirogova,b'ZjVGSQnKdRZncZ9ft8PDdA0hPENLFblc2yQ3lPMk01SzN34Yp5KDbA==',France,Female,27,b'ZjVGSQnKdRZncZ9ft8PDdA08rSAxJ9xL05B8cEsSVQTkl/grf7YH2w==',0.0,1,1,1,57572.38,0
1404,1405,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MkNZD1sG7j8gn5Zt+tZg6LnEhdA==',Sturt,b'ZjVGSQnKdRZncZ9ft8PDdA0xgtLIVjm8IjSTpx4+QqHkrJnkXtJnzQ==',Spain,Female,41,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',90350.77,1,1,0,75884.65,1
1405,1406,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8IBMx3SXzKEXjyXY1V06OcwVaDA==',Panicucci,b'ZjVGSQnKdRZncZ9ft8PDdA47+LdpoNtFYB+e5AZ/C1zzAZ5kW3gqQA==',France,Female,44,b'ZjVGSQnKdRZncZ9ft8PDdA08rSAxJ9xL05B8cEsSVQTkl/grf7YH2w==',128747.69,1,1,0,146955.71,1
1406,1407,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8Hh+qIx9j50iTND7tyH7ht+akew==',Cook,b'ZjVGSQnKdRZncZ9ft8PDdA0Pl9gzrSPoaoWkLLANxp0Fo1FOunrN1g==',Spain,Male,23,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',126873.52,1,0,1,67040.12,0
1407,1408,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8MITUSru79zgC5Ro1G1rrR2ZOJg==',Hardy,b'ZjVGSQnKdRZncZ9ft8PDdA0hOHvnNqNuj5r4kFyG63ROELO3C1b1bg==',France,Male,69,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',108424.19,1,1,1,178418.35,0
1408,1409,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8yZW66asLi/ifxW3rXgsD4frQxyQ==',Chu,b'ZjVGSQnKdRZncZ9ft8PDdA0hMEZdAKqv+v12+VVWERjNjmNj6UMjdg==',France,Male,32,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',0.0,2,0,0,30807.02,0
1409,1410,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdqa1E3eL+lTOf9qrg9lM4167o8I9Q==',Franklin,b'ZjVGSQnKdRZncZ9ft8PDdA0f3Ts5zhFT3Mx6LVV092TqkcyiHBBUaw==',France,Female,40,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',84350.07,1,1,0,143835.76,0
1410,1411,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O8NmBPs8j7dqY2ukTvdRCsKmuKw==',P'eng,b'ZjVGSQnKdRZncZ9ft8PDdA0PvdyADvkJ9E9sEUfLdK/z1Q2wBgRd7A==',France,Female,73,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',0.0,2,0,0,130883.9,1
1411,1412,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+PdvjLKEvOaoaawnXWxmKVubj1A==',Chiang,b'ZjVGSQnKdRZncZ9ft8PDdA0xvF47OukW2u9RQ7dHeZmhvMHoT6v6Xg==',Germany,Female,30,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',84958.6,2,0,1,194343.72,0
1412,1413,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zvbAedWEmJIcQJyu6Cb2uI0PDlQ==',Grant,b'ZjVGSQnKdRZncZ9ft8PDdA0xuPD+dBftgfb6+V6yERiZzNLjb7Prxg==',Germany,Female,29,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',99097.36,1,1,1,9796.69,0
1413,1414,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MkNYJVfJHWim/vWEU6/mHa1KsKg==',Udobata,b'ZjVGSQnKdRZncZ9ft8PDdA0PtWgIZwjS2ku/TnXKJKDp5CrqEyqwyQ==',Germany,Male,30,b'ZjVGSQnKdRZncZ9ft8PDdA4VEfMk9ebAtdfAdositHanPbNR8E8JqA==',136622.55,2,0,0,47310.24,0
1414,1415,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8HjVsBPm/+abs3QmsbppGkDcgRQ==',Siciliani,b'ZjVGSQnKdRZncZ9ft8PDdA0f63/+P9oiw57n5BiTZd9NMssPpV0/kA==',Germany,Female,30,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',156771.68,1,1,1,141148.21,0
1415,1416,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+LUgmc3TyHVwrkshP5KCHrhdrIg==',Evans,b'ZjVGSQnKdRZncZ9ft8PDdA0hGrgx75lsu2pblYv3tg5I9xjUIgVn/A==',Germany,Male,28,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',167658.33,2,1,1,111138.25,0
1416,1417,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/EJ7qaLhfg+4bGsnQzj7M4Q6e1Q==',Young,b'ZjVGSQnKdRZncZ9ft8PDdA0Pk9ovqSjTc46YXajSsaUIgxNpapHbAQ==',Spain,Female,33,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',0.0,2,1,0,114182.07,0
1417,1418,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NSrftNDwRQzSyGiKD9nFz/dk+Rg==',Mitchell,b'ZjVGSQnKdRZncZ9ft8PDdA0xmlCuU64c+sAs+OXmgzm9DfLaG25oSw==',Germany,Female,24,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',109483.54,2,0,1,127560.77,0
1418,1419,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/PpzjUjEDllL7iX7wPcFh3KlXhQ==',Lucchese,b'ZjVGSQnKdRZncZ9ft8PDdA0Pvd5vCuHJbKTqT1fcNpd+KEq0jfBw0g==',Germany,Female,40,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',134504.78,1,1,0,18082.06,0
1419,1420,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O4K2MiW3cyTTtu9TzvS04q/BNcw==',Hewitt,b'ZjVGSQnKdRZncZ9ft8PDdA0PuQoxUmv9OYskkv94D7QNIPcrdt7/Xw==',France,Female,44,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',114427.86,1,1,1,136330.26,0
1420,1421,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NZB6Wcb+VYQlacIq4xMJXioo62g==',K'ung,b'ZjVGSQnKdRZncZ9ft8PDdA0hODNx6VljTt3wUSe87h3mLj5vS9T0pQ==',Spain,Male,45,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',83888.54,1,0,1,34121.81,0
1421,1422,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NdC3O62DSZKrcgq/lreaVbFf10A==',Swaim,b'ZjVGSQnKdRZncZ9ft8PDdA0PvdE3fva3jdwKRKiiKdoFkm9N5BDtiA==',Germany,Male,32,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',110029.77,1,1,0,56246.69,0
1422,1423,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MkOQ1/Hse86+uc/xks034jBbNxQ==',Quinones,b'ZjVGSQnKdRZncZ9ft8PDdA0xsD/GvtALJG5ibXs0KB/EfTuyEm0o+A==',Spain,Male,41,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',127523.75,1,0,1,191417.42,0
1423,1424,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zvbxiHMhR3li+RIBrx2bVVsf5rg==',Kennedy,b'ZjVGSQnKdRZncZ9ft8PDdA0xjkIcU6nUeBv0ixRNJYMHkMC7OJ4T7A==',Germany,Male,30,b'ZjVGSQnKdRZncZ9ft8PDdA4QBxPYApxBZ5O1wgvkZFW1mqyX1a7PPw==',139762.13,2,1,1,23317.88,0
1424,1425,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zre/f8/OwK4c6WB91tHHXjmIg4g==',Endrizzi,b'ZjVGSQnKdRZncZ9ft8PDdA0xmhnW/ZVg5RiRFNtxKfjTf7H4qnX6cw==',Spain,Female,42,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',91611.12,1,0,0,144675.3,1
1425,1426,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zvZo2sIyojsYXWvCJMWGEbVBs/A==',Ludowici,b'ZjVGSQnKdRZncZ9ft8PDdA0hODEH4/fqpMB+60EejkxAmL3ohBZgzA==',France,Female,42,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',109471.79,1,0,1,175161.05,0
1426,1427,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O8NmAX7IxGAwZUq0cD0VVflAb7w==',Larson,b'ZjVGSQnKdRZncZ9ft8PDdA0Pn4RZOYZ6q+SgK/vi8Fa3vOgm14qaXA==',France,Female,39,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',150500.64,1,1,0,14928.8,0
1427,1428,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MkN7H6TM/fsOTpNSX4IFffRjwdA==',Chigolum,b'ZjVGSQnKdRZncZ9ft8PDdA0hGvSiGq3lnrO3AJ48a3a41ypjZS/HxQ==',Germany,Female,59,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',101609.77,1,0,0,161479.19,1
1428,1429,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MkOQwRS+kN3CP/PcbaB1x9vlwoA==',Maclean,b'ZjVGSQnKdRZncZ9ft8PDdA0PoeLWohvc8DS9voRZs/iiMKV3RJNuiw==',France,Male,57,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',0.0,1,1,1,133501.94,0
1429,1430,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8Hi2Ru+WraSJqSyuGkm0MyjNfyQ==',Lu,b'ZjVGSQnKdRZncZ9ft8PDdA0xmhsTib7wlhK76LsoKHlLVjpGfhiqcQ==',France,Female,26,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',78892.23,1,1,1,23703.52,0
1430,1431,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O4LXV9NR3OAvLHK3r5WY5Uc0h/g==',Tuan,b'ZjVGSQnKdRZncZ9ft8PDdAzif2ZDIytbg3s0XyYt7s4OQ6bR8P5ppQ==',France,Female,29,b'ZjVGSQnKdRZncZ9ft8PDdA42k1rEAZRnN9vk6tQtZmvIpGkMLAFHQA==',82344.84,1,0,1,115985.38,0
1431,1432,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdqaxLpioVzGEvh9edCboLIqXoOzTg==',Glover,b'ZjVGSQnKdRZncZ9ft8PDdA0xgpivQtGWIHQPtdyoc8NalzlGApDqWA==',France,Male,48,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',0.0,1,1,0,43229.2,0
1432,1433,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+LX7lW5f29NfBcAyArIKSkZE9mQ==',Landman,b'ZjVGSQnKdRZncZ9ft8PDdA0Pl9t+g0uIhhnLZ8PuEVUMwUq2ze2UYQ==',Spain,Female,44,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',0.0,1,1,1,94862.93,0
1433,1434,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zvYJjQmd55uD7P+pzjuSf49ZXqQ==',Trevisano,b'ZjVGSQnKdRZncZ9ft8PDdA0hJI/PD7+WSmsX8uZKtOOZk9HwVHk7NQ==',France,Male,62,b'ZjVGSQnKdRZncZ9ft8PDdA4QBxPYApxBZ5O1wgvkZFW1mqyX1a7PPw==',127706.33,2,0,1,142377.69,0
1434,1435,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O8MmZfuR9UTfaELrp98T8g+Y4Mg==',Longo,b'ZjVGSQnKdRZncZ9ft8PDdA0Poez3F9rEcHoHPO9CH6ool7JUWaVofA==',France,Female,41,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',124349.34,1,1,0,135635.25,0
1435,1436,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zre+aGwN9l4tPqrCbGfWCAAbV3A==',K?,b'ZjVGSQnKdRZncZ9ft8PDdA0Pn8jGSBEooJhf5um2OSdjS9hGRk+2qw==',Spain,Male,44,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',0.0,2,1,0,148487.9,0
1436,1437,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/Pq4X4DTizY4Nq++nFYCXtV6HAw==',Muir,b'ZjVGSQnKdRZncZ9ft8PDdA0Pl5P0fqcIu/QCeaHKhmwFprkXffIg4A==',Germany,Male,28,b'ZjVGSQnKdRZncZ9ft8PDdA4QBxPYApxBZ5O1wgvkZFW1mqyX1a7PPw==',119336.29,2,0,1,58976.85,0
1437,1438,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NdC2GvYodkxSOqacX4PVb4msX4A==',Alexeyeva,b'ZjVGSQnKdRZncZ9ft8PDdA0xuP3XWZg3zBONGJxEuQshtH6MPgwNyA==',France,Female,31,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',0.0,1,0,1,76254.83,0
1438,1439,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8yZVQD9q5d8NlsvocxEWqKdCtfmg==',Norman,b'ZjVGSQnKdRZncZ9ft8PDdA0PtSJhl2zfaXwk2UFEwG2spYCgAG3Wkw==',Germany,Male,56,b'ZjVGSQnKdRZncZ9ft8PDdAz30d5V+lXJdd0SrarfN5v1AGy797RD2Q==',104217.3,1,0,0,55857.48,1
1439,1440,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdqaxIheiRQf6PzQJ/OyIJ+16AnNtg==',Simmons,b'ZjVGSQnKdRZncZ9ft8PDdA0hEhm+VBnxGs1AmE9nZ3B22KbrCJDW4w==',France,Female,65,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',0.0,1,1,1,77867.23,0
1440,1441,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MkOwAZcSfaYdsWcQRtb+BrU57sg==',Chukwualuka,b'ZjVGSQnKdRZncZ9ft8PDdA0PoaG9EBbb1GQjfePhNkS9HrD51+mr9g==',Germany,Male,39,b'ZjVGSQnKdRZncZ9ft8PDdA4VEfMk9ebAtdfAdositHanPbNR8E8JqA==',144757.02,1,1,0,22878.16,1
1441,1442,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+LXrqi88YRDIbtXV33RbXgHluIg==',McCall,b'ZjVGSQnKdRZncZ9ft8PDdA0xkkW9sbhiBgDjZdoriZ6WMztwpaoBGA==',Spain,Male,44,b'ZjVGSQnKdRZncZ9ft8PDdA08rSAxJ9xL05B8cEsSVQTkl/grf7YH2w==',0.0,1,1,1,114469.55,0
1442,1443,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MkOwCrOZFL+DfP+YZho9CX+U6ow==',Moore,b'ZjVGSQnKdRZncZ9ft8PDdA0xvBUeEtrsqEEITO3Paoz2HB5F3R8VeQ==',France,Male,43,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',0.0,1,1,0,96754.8,0
1443,1444,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zrdEXvBi6GFg1ZF5FMXgvKvdEJA==',Ingram,b'ZjVGSQnKdRZncZ9ft8PDdA0PoadpWyyBuuXqAQEkPlOiaVKNnCwrcA==',France,Female,43,b'ZjVGSQnKdRZncZ9ft8PDdA08rSAxJ9xL05B8cEsSVQTkl/grf7YH2w==',0.0,3,0,0,125154.57,1
1444,1445,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O4LXathGwpKvOBKc/4g74FdvQnA==',Okeke,b'ZjVGSQnKdRZncZ9ft8PDdA0Pk5FwrFFoBryA4LjbMLThHiSTnc8/gQ==',France,Female,38,b'ZjVGSQnKdRZncZ9ft8PDdA4VEfMk9ebAtdfAdositHanPbNR8E8JqA==',0.0,2,0,1,113597.64,0
1445,1446,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/Pq5fnieGiJ7qb4i6jRu1dSW2hA==',Shao,b'ZjVGSQnKdRZncZ9ft8PDdA0hMEQzhv8uVPqa5GYWK/zp+F6MtkRKHg==',France,Female,24,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',100169.51,1,1,0,121408.55,0
1446,1447,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+LVxMncWH8Rp9jad2+d5PGeCkQw==',Iloabuchi,b'ZjVGSQnKdRZncZ9ft8PDdA0xln+8P9uukv0nY1XxrlG1JuKPb8Oa5A==',France,Male,33,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',145731.83,1,0,1,109219.43,0
1447,1448,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+PfWLsetoQXE3F76d5xn9zQ1u6A==',Nebechukwu,b'ZjVGSQnKdRZncZ9ft8PDdA0xsD5CJI0gWHOtkwGfmnXbqKfT5xf8jw==',Spain,Male,56,b'ZjVGSQnKdRZncZ9ft8PDdA0KHoDUe4cdEdh8/01VCF4t2LheTbf3DA==',110802.03,1,1,1,50230.31,1
1448,1449,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zvYJgftqcoYeq4FVEjHP9nmjTJg==',Diribe,b'ZjVGSQnKdRZncZ9ft8PDdA0PoaTIGeFG4DJaDZ23VZ/xsuziaS/GlQ==',Germany,Female,46,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',120392.99,1,1,0,177719.88,1
1449,1450,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2OzrEOHOktVonHunvIA09848eZNQ==',Macgroarty,b'ZjVGSQnKdRZncZ9ft8PDdA0Pn8wr5SIzxrrGTS7uyVraFu/l3ky87A==',Germany,Female,26,b'ZjVGSQnKdRZncZ9ft8PDdA08rSAxJ9xL05B8cEsSVQTkl/grf7YH2w==',135067.52,2,0,0,131211.86,0
1450,1451,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/AGfiLm/J5ynrqbfWOfscf2/kLg==',Artemova,b'ZjVGSQnKdRZncZ9ft8PDdA0xljVdc/HZ73xwG/XtZDJlZRunb9Yo/Q==',Spain,Male,31,b'ZjVGSQnKdRZncZ9ft8PDdA42k1rEAZRnN9vk6tQtZmvIpGkMLAFHQA==',136556.44,1,1,0,82152.83,1
1451,1452,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw+LUwZ2Q5I/50U6R/lraYs4FtOHg==',McDonald,b'ZjVGSQnKdRZncZ9ft8PDdA0Poe0Be8svEdFVGtbNFP62KhYgB7TG5Q==',France,Female,38,b'ZjVGSQnKdRZncZ9ft8PDdA4VEfMk9ebAtdfAdositHanPbNR8E8JqA==',0.0,2,1,1,216.27,0
1452,1453,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2NSrehq+JdqgPGwzq8vTCDYeoacw==',Mazzanti,b'ZjVGSQnKdRZncZ9ft8PDdA0xvFzGzjht9GHrZGlKR/ieS/69DxJgzg==',France,Female,35,b'ZjVGSQnKdRZncZ9ft8PDdA42k1rEAZRnN9vk6tQtZmvIpGkMLAFHQA==',99587.43,1,1,1,1713.1,1
1453,1454,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2O8MnV2TBfPvFll66J23PwESr9qw==',Kelly,b'ZjVGSQnKdRZncZ9ft8PDdA0xuPOKs8C1scIssYcNnTXE0yeaMcppsA==',France,Female,53,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',0.0,1,1,1,136910.18,0
1454,1455,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw8MKImwviL8CD1PWdfjr5EGHyB3w==',Davison,b'ZjVGSQnKdRZncZ9ft8PDdA0Pvd5vCuHJbKTqT1fcNpd+KEq0jfBw0g==',Spain,Female,34,b'ZjVGSQnKdRZncZ9ft8PDdA0seVYcT7oKqN5yFMJexxp9P2dFYPmS9A==',70731.07,1,1,1,20243.97,1
1455,1456,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MgAQmPAr9PIH7YFejvrrBpaTtRQ==',Reilly,b'ZjVGSQnKdRZncZ9ft8PDdA0xvF0Icb8aoSuqkAHss9bw1NXLgq9tsQ==',Germany,Male,35,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',109342.82,2,0,1,86043.27,0
1456,1457,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd2MgD7kyzK6tz+0qoZejrw1VcJuLQ==',Ojiofor,b'ZjVGSQnKdRZncZ9ft8PDdA0xlnnC+pd0/5KF9fo0yA94Sl1sobvAhw==',Spain,Male,28,b'ZjVGSQnKdRZncZ9ft8PDdAznf3ElUcBRFXnmUkfCrX7P86wT0Kq5MA==',0.0,2,1,0,126561.07,0
1457,1458,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8zrfdN/wVUjkUUNkMqSGi9Rz1s0w==',Shelton,b'ZjVGSQnKdRZncZ9ft8PDdAziYzKBqnXbIwejnfRKmhNlH12ItCd7qw==',France,Male,66,b'ZjVGSQnKdRZncZ9ft8PDdA0agGv3FQxGez8eANvWBAy05KMrvTl/Og==',0.0,2,0,1,64350.8,0
1458,1459,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/AFnkLoQE42BqutfqlmfB5m1tKw==',Lange,b'ZjVGSQnKdRZncZ9ft8PDdA0f1ajGTC41tt+y938jp2ZdlN6RtBvljw==',France,Male,25,b'ZjVGSQnKdRZncZ9ft8PDdA4m6TWdTjQKU1+WpbCsRcxS5LdGm5Kq1Q==',78247.31,2,1,1,10472.31,0
1459,1460,b'ZjVGSQnKdRZncZ9ft8PDdA4VBd8yZUCnkTnXLZOAmyVZ6sz6TMT4JQ==',Trentini,b'ZjVGSQnKdRZncZ9ft8PDdAzic2evInLq1r8BQQKySW85Cx3NDtZxow==',France,Female,55,b'ZjVGSQnKdRZncZ9ft8PDdA4VEfMk9ebAtdfAdositHanPbNR8E8JqA==',117561.49,1,1,0,95941.55,1
1460,1461,b'ZjVGSQnKdRZncZ9ft8PDdA4VBdw/LpCRJN6nNZrmPrgsm8jAGlxDkQ==',Gardiner,b'ZjVGSQnKdRZncZ9ft8PDdA0Pl5U2gdhN7na3Q0YpvTUuR36NZIIrkA==',France,Male,23,b'ZjVGSQnKdRZncZ9ft8PDdA4VEfMk9ebAtdfAdositHanPbNR8E8JqA==',88980.32,1,1,1,125222.36,0
